Category,Item,Serving Size,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value),Serving Size (Numeric),Calorie Density,Fat to Carb Ratio,Category_Encoded,PCA1,PCA2,Cluster
Breakfast,Sausage Burrito,3.9 oz (111 g),300,150,16.0,25,7.0,33,0.0,115,38,790,33,26,9,1,5,2,12,10,2,15,15,3.9,76.92307692307692,0.5925925925925926,0,2.380994827395395,-2.431309511196766,2
Breakfast,Hash Brown,2 oz (56 g),150,80,9.0,14,1.5,6,0.0,0,0,310,13,15,5,2,6,0,1,0,2,0,2,2.0,75.0,0.5625,0,-0.9477843214220795,-3.599489688611236,1
Breakfast,Cinnamon Melts,4 oz (114 g),460,170,19.0,30,9.0,43,0.0,15,5,370,15,66,22,3,11,32,6,4,0,6,15,4.0,115.0,0.2835820895522388,0,2.412068513627851,-0.5341809855177135,2
Beef & Pork,Big Mac,7.4 oz (211 g),530,240,27.0,42,10.0,48,1.0,85,28,960,40,47,16,3,13,9,24,6,2,25,25,7.4,71.62162162162161,0.5625,1,5.319206672138509,-0.3239901523140894,2
Beef & Pork,Hamburger,3.5 oz (98 g),240,70,8.0,12,3.0,15,0.0,30,10,480,20,32,11,1,6,6,12,2,2,10,15,3.5,68.57142857142857,0.24242424242424243,1,-0.07733908415601488,-2.3417608205012277,1
Beef & Pork,Cheeseburger,4 oz (113 g),290,100,11.0,18,5.0,27,0.5,45,15,680,28,33,11,2,7,7,15,6,2,20,15,4.0,72.5,0.3235294117647059,1,1.3627917226990358,-1.634346685356078,2
Beef & Pork,Double Cheeseburger,5.7 oz (161 g),430,190,21.0,32,10.0,52,1.0,90,30,1040,43,35,12,2,8,7,24,10,2,30,20,5.7,75.43859649122807,0.5833333333333334,1,4.379381493932936,-0.6509356621144059,2
Beef & Pork,McDouble,5.2 oz (147 g),380,150,17.0,26,8.0,40,1.0,75,25,840,35,34,11,2,7,7,22,6,2,20,20,5.2,73.07692307692308,0.4857142857142857,1,3.214259142330931,-1.0584315986887458,2
Beef & Pork,Bacon McDouble,5.7 oz (161 g),440,200,22.0,34,10.0,49,1.0,90,30,1110,46,35,12,2,7,7,27,6,10,20,20,5.7,77.19298245614034,0.6111111111111112,1,4.599529009752493,-1.0105925387258305,2
Beef & Pork,Daily Double,6.7 oz (190 g),430,200,22.0,35,9.0,44,1.0,80,27,760,32,34,11,2,8,7,22,8,8,20,20,6.7,64.17910447761194,0.6285714285714286,1,3.8913977070910266,-0.8773044622140456,2
Beef & Pork,Jalapeño Double,5.6 oz (159 g),430,210,23.0,36,9.0,44,1.0,80,27,1030,43,35,12,2,7,6,22,6,8,20,20,5.6,76.78571428571429,0.6388888888888888,1,4.3151463094325875,-1.0703824905464991,2
Beef & Pork,McRib,7.3 oz (208 g),500,240,26.0,40,10.0,48,0.0,70,23,980,41,44,15,3,10,11,22,2,2,15,20,7.3,68.4931506849315,0.5777777777777777,1,4.37566760428072,-1.3692975375190544,2
Chicken & Fish,Premium Crispy Chicken Classic Sandwich,7.5 oz (213 g),510,200,22.0,33,3.5,18,0.0,45,16,990,41,55,18,3,13,10,24,4,6,15,20,7.5,68.0,0.39285714285714285,2,3.3166920915389517,-1.3927297524101578,2
Chicken & Fish,Premium Grilled Chicken Classic Sandwich,7 oz (200 g),350,80,9.0,13,2.0,9,0.0,65,22,820,34,42,14,3,13,8,28,4,8,15,20,7.0,50.0,0.20930232558139536,2,1.639157811290324,-2.013640191561156,2
Chicken & Fish,Premium Crispy Chicken Club Sandwich,8.8 oz (249 g),670,300,33.0,51,9.0,44,0.0,85,29,1410,59,58,19,3,14,11,36,8,20,30,20,8.8,76.13636363636363,0.559322033898305,2,6.360880027240023,-0.6769533905804564,2
Chicken & Fish,Premium Grilled Chicken Club Sandwich,8.3 oz (235 g),510,180,20.0,31,7.0,36,0.0,105,35,1250,52,44,15,3,13,9,40,8,20,30,20,8.3,61.44578313253012,0.4444444444444444,2,4.701297434771786,-1.3499248835713793,2
Chicken & Fish,Premium Crispy Chicken Ranch BLT Sandwich,8.1 oz (230 g),610,250,28.0,43,6.0,31,0.0,70,24,1400,58,57,19,3,13,11,32,4,20,15,20,8.1,75.30864197530865,0.4827586206896552,2,5.198176534763482,-1.3234783703246453,2
Chicken & Fish,Premium Grilled Chicken Ranch BLT Sandwich,7.6 oz (217 g),450,130,15.0,23,4.5,22,0.0,90,30,1230,51,43,14,3,13,9,36,4,20,15,20,7.6,59.21052631578948,0.3409090909090909,2,3.539660814012703,-2.0219192564133857,2
Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich,10 oz (284 g),750,340,38.0,59,10.0,51,0.5,90,31,1720,72,65,22,4,15,16,36,8,25,30,15,10.0,75.0,0.5757575757575758,2,7.585487960659789,0.10437668197792399,2
Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich,9.5 oz (270 g),590,230,25.0,39,8.0,42,0.0,110,37,1560,65,51,17,4,15,14,40,8,30,30,15,9.5,62.10526315789474,0.4807692307692308,2,5.873118229950031,-1.0934775035175803,2
